nama_bersih,kalori_per_100g,protein_g,lemak_g,karbo_g
jamur coklat (kulat siau),45.0,2.5,3.9,0.0
jamur encik,296.0,9.4,1.1,62.0
jamur kuping kering,294.0,16.0,0.9,64.6
jamur kuping segar,21.0,3.8,0.6,0.9
jamur merang segar,30.0,3.5,0.2,4.0
jamur putih (kulat putih),48.0,2.8,4.1,2.9
jamur sagu,48.0,1.9,3.2,2.8
jamur tiram segar,30.0,1.9,0.1,5.5
jangang bintatoeng masakan,107.0,5.3,2.2,16.5
jantung pisang segar,31.0,1.2,0.3,7.1
japilus,500.0,1.2,25.1,67.3
jaruk tigarun,48.0,2.5,4.2,0.0
jawawut,334.0,9.7,3.5,73.4
jengkol segar,192.0,5.4,0.3,40.7
jeruk bali,48.0,0.6,0.2,12.4
jeruk banjar segar,61.0,0.8,0.2,14.1
jeruk garut,44.0,0.8,0.3,10.9
jeruk kalamansi segar,39.0,0.3,0.3,8.9
jeruk manis,45.0,0.9,0.2,11.2
jeruk nipis,37.0,0.8,0.1,12.3
jeruk ragi segar,49.0,0.7,0.2,11.1
jotang,32.0,1.9,0.3,7.1
kabau segar,130.0,6.7,0.3,25.2
