nama_id,frekuensi,kategori,umur_kulkas,umur_suhu_ruang,umur_freezer,kalori_per_100g,protein_g,lemak_g,karbo_g,karbon_co2e
udang kepala,4,protein_hewani,2,0,90,0.0,0.0,0.0,0.0,9.912
keping gula merah,4,bumbu,365,180,0,0.0,0.0,0.0,0.0,
lada kaldu bubuk,4,rempah,365,365,0,0.0,0.0,0.0,0.0,
serai putihnya,4,rempah,14,5,60,0.0,0.0,0.0,0.0,
kaldu bubuk sapi,4,bumbu,365,180,0,0.0,0.0,0.0,0.0,69.927
cabai keriting,4,bumbu,7,2,30,0.0,0.0,0.0,0.0,0.656
kaldu,4,olahan,5,1,0,0.0,0.0,0.0,0.0,
gula kaldu jamur,4,sayuran,5,1,30,0.0,0.0,0.0,0.0,0.321
bawang daun,4,bumbu,7,2,30,29.0,1.8,0.7,5.2,0.447
tahu cina,4,protein_nabati,3,1,30,68.0,7.8,4.6,1.6,1.411
daging sapi khas,3,protein_hewani,3,0,120,0.0,0.0,0.0,0.0,69.927
daging kambing sapi,3,protein_hewani,3,0,120,149.0,16.6,9.2,0.0,69.927
telur dadar,3,protein_hewani,4,0,0,0.0,0.0,0.0,0.0,1.075
acar,3,olahan,7,1,0,0.0,0.0,0.0,0.0,2.88
ikan tenggiri,3,protein_hewani,2,0,90,0.0,0.0,0.0,0.0,2.016
gula lada,3,rempah,365,365,0,0.0,0.0,0.0,0.0,
jamur kuping,3,sayuran,5,1,30,0.0,0.0,0.0,0.0,0.321
jeruk limo,3,buah,14,3,0,0.0,0.0,0.0,0.0,0.611
serei,3,rempah,14,5,60,0.0,0.0,0.0,0.0,0.447
paha ayam,3,protein_hewani,3,0,120,302.0,18.2,25.0,0.0,2.041
cabai rawit merah utuh,3,bumbu,7,2,30,0.0,0.0,0.0,0.0,
minyak ayam,3,protein_hewani,3,0,120,302.0,18.2,25.0,0.0,3.576
cabe kriting,3,bumbu,7,2,30,0.0,0.0,0.0,0.0,
salam,3,olahan,5,1,0,0.0,0.0,0.0,0.0,
olive oil,3,bumbu,365,180,0,0.0,0.0,0.0,0.0,5.809
ayam giling,3,protein_hewani,3,0,120,302.0,18.2,25.0,0.0,6.284
ikan tongkol,3,protein_hewani,2,0,90,0.0,0.0,0.0,0.0,2.016
timun,3,sayuran,7,2,0,12.0,0.7,0.1,2.7,0.426
gula aren,3,bumbu,365,180,0,368.0,0.0,0.0,95.0,2.21
telur utuh,3,protein_hewani,21,7,0,0.0,0.0,0.0,0.0,1.075
santan instan kara,3,olahan,5,0,30,0.0,0.0,0.0,0.0,6.639
daging kambing tulang,3,protein_hewani,3,0,120,0.0,0.0,0.0,0.0,38.779
pekak,3,rempah,365,180,0,0.0,0.0,0.0,0.0,
jengkol tua,3,sayuran,7,3,30,0.0,0.0,0.0,0.0,1.311
pasta tomat,3,bumbu,30,7,0,0.0,0.0,0.0,0.0,2.432
garam gula kaldu bubuk,3,bumbu,1825,1825,0,0.0,0.0,0.0,0.0,
gula pasir garam,3,bumbu,1825,1825,0,0.0,0.0,0.0,0.0,
ikan tuna,3,protein_hewani,2,0,90,0.0,0.0,0.0,0.0,2.696
lombok merah,3,bumbu,7,2,30,0.0,0.0,0.0,0.0,
taoge,3,protein_nabati,3,1,0,0.0,0.0,0.0,0.0,0.857
gula pasir kaldu bubuk,3,bumbu,1825,1825,0,0.0,0.0,0.0,0.0,
cabai bubuk,3,bumbu,365,180,0,0.0,0.0,0.0,0.0,
tepung sasa,3,karbohidrat,365,180,0,0.0,0.0,0.0,0.0,
lombok,3,bumbu,7,2,30,0.0,0.0,0.0,0.0,0.656
kulit lumpia,3,karbohidrat,7,1,30,0.0,0.0,0.0,0.0,1.398
penyedap jamur,3,sayuran,5,1,30,0.0,0.0,0.0,0.0,0.321
royko,3,bumbu,365,180,0,0.0,0.0,0.0,0.0,
hati sapi,3,protein_hewani,3,0,120,136.0,19.7,3.2,6.0,69.927
rempah,3,rempah,365,180,0,0.0,0.0,0.0,0.0,
